"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"Os01g0856900",1090,1044,1008,1479,1941,1818
"Os01g0254200",1844,2251,1726,1617,1449,1205
"Os01g0776300",371,417,397,468,543,432
"Os01g0876400",2049,1755,1223,1078,722,878
"Os01g0299150",17,6,10,12,31,15
"Os01g0623500",927,1204,925,762,705,783
"Os01g0611100",57,77,38,32,28,11
"Os01g0692000",60,30,20,70,14,38
"Os01g0698900",27,30,30,14,18,22
"Os01g0170000",8,17,18,8,14,5
"Os01g0675500",3587,3573,3187,3029,3058,2820
"Os01g0824600",274,319,216,257,219,242
"Os01g0951400",783,890,812,856,727,644
"Os01g0776400",876,940,785,715,748,856
"Os01g0168200",1000,977,680,850,770,771
"Os01g0666950",1792,2056,1668,1805,1985,1864
"Os01g0521200",416,360,407,276,278,276
"Os01g0862800",175,190,373,233,95,213
"Os01g0891700",52,56,42,35,17,16
"Os01g0159300",3589,3794,3021,2598,2626,2322
"Os01g0966000",7633,6883,7446,7327,7489,7816
"Os01g0224100",8,22,12,6,16,10
"Os01g0956800",111,126,74,92,52,16
"Os01g0618700",19,51,49,26,12,2
"Os01g0232300",2397,1881,1771,2677,2365,2163
"Os01g0957900",1064,1059,769,955,704,823
"Os01g0607200",261,281,198,212,132,81
"Os01g0359600",409,333,414,456,540,475
"Os01g0571300",51,34,18,30,22,44
"Os01g0144200",45,77,44,52,86,51
"Os01g0556400",1642,2366,1759,1886,2186,1908
"Os01g0865600",2770,2132,2075,2161,2260,2264
"Os01g0511000",629,394,585,588,1451,839
"Os01g0873900",2980,3526,2429,2290,2477,2077
"Os01g0258100",86,47,49,40,38,74
"Os01g0581900",354,325,258,297,308,298
"Os01g0744300",2380,2622,1917,2376,2270,2306
"Os01g0276200",741,677,403,419,341,253
"Os01g0638000",594,627,140,336,4,464
"Os01g0618100",720,875,714,837,906,772
"Os01g0337500",733,1152,493,477,263,129
"Os01g0635550",250,304,280,330,214,198
"Os01g0976700",1165,1032,831,1078,797,863
"Os01g0121300",31,39,26,46,27,47
"Os01g0264000",287,237,220,268,415,314
"Os01g0809300",6992,9162,6392,6297,6418,5587
"Os01g0952500",730,1149,680,2053,313,304
"Os01g0788400",128,110,66,76,32,64
"Os01g0885500",105,152,73,166,104,156
"Os01g0672166",24,16,38,42,40,33
"Os01g0513500",112,118,104,91,77,70
"Os01g0716300",35,20,13,14,40,24
"Os01g0646800",904,887,937,1036,987,1073
"Os01g0656900",165,153,124,75,93,133
"Os01g0971200",5668,6160,5100,4398,4304,4222
"Os01g0844900",79,72,55,65,71,68
"Os01g0966700",119,118,101,120,111,101
"Os01g0197450",30,42,16,52,39,40
"Os01g0241000",134,175,158,178,157,310
"Os01g0796000",379,643,419,372,235,146
"Os01g0748600",2710,2483,1977,1814,2051,1908
"Os01g0140400",21,25,26,31,36,22
"Os01g0631700",141,60,265,410,712,672
"Os01g0274800",174,141,100,182,54,37
"Os01g0617800",406,442,471,356,353,420
"Os01g0301300",93,96,73,66,78,81
"Os01g0222600",3235,3242,3575,3588,6673,6033
"Os01g0977600",5817,5156,4750,5093,4720,4574
"Os01g0259400",135,71,87,87,67,92
"Os01g0607600",62,50,79,34,52,105
"Os01g0158000",1525,1535,1400,1530,1222,1344
"Os01g0846600",221,248,182,266,263,292
"Os01g0722800",896,1206,862,963,981,842
"Os01g0894700",1721,1660,1988,2863,3503,3183
"Os01g0667900",1199,1600,1328,1028,985,1087
"Os01g0542700",200,211,132,131,129,134
"Os01g0618200",1245,1028,1476,1595,2038,2033
"Os01g0141600",1286,1165,1129,1566,2033,1665
"Os01g0858700",375,447,327,428,411,328
"Os01g0290000",12617,12697,10567,12969,12915,13428
"Os01g0916000",543,1339,744,489,371,79
"Os01g0618500",896,892,687,731,789,774
"Os01g0510200",524,488,308,238,21,208
"Os01g0310800",1296,1354,1184,1164,1295,1050
"Os01g0738900",198,246,280,246,299,341
"Os01g0835700",64,64,116,118,170,190
"Os01g0215750",40,69,54,127,96,30
"Os01g0875700",88,98,71,101,86,95
"Os01g0612700",395,447,412,512,602,504
"Os01g0953000",12,9,11,26,12,11
"Os01g0843432",21,28,4,21,18,29
"Os01g0112100",111,74,55,57,32,54
